                                  Prefix Verb   URI Pattern                                                                                       Controller#Action
                                  people GET    /people(.:format)                                                                                 people#index
                                         POST   /people(.:format)                                                                                 people#create
                              new_person GET    /people/new(.:format)                                                                             people#new
                             edit_person GET    /people/:id/edit(.:format)                                                                        people#edit
                                  person GET    /people/:id(.:format)                                                                             people#show
                                         PATCH  /people/:id(.:format)                                                                             people#update
                                         PUT    /people/:id(.:format)                                                                             people#update
                                         DELETE /people/:id(.:format)                                                                             people#destroy
                                 courses GET    /courses(.:format)                                                                                courses#index
                                         POST   /courses(.:format)                                                                                courses#create
                              new_course GET    /courses/new(.:format)                                                                            courses#new
                             edit_course GET    /courses/:id/edit(.:format)                                                                       courses#edit
                                  course GET    /courses/:id(.:format)                                                                            courses#show
                                         PATCH  /courses/:id(.:format)                                                                            courses#update
                                         PUT    /courses/:id(.:format)                                                                            courses#update
                                         DELETE /courses/:id(.:format)                                                                            courses#destroy
                                  theses GET    /theses(.:format)                                                                                 theses#index
                                         POST   /theses(.:format)                                                                                 theses#create
                              new_thesis GET    /theses/new(.:format)                                                                             theses#new
                             edit_thesis GET    /theses/:id/edit(.:format)                                                                        theses#edit
                                  thesis GET    /theses/:id(.:format)                                                                             theses#show
                                         PATCH  /theses/:id(.:format)                                                                             theses#update
                                         PUT    /theses/:id(.:format)                                                                             theses#update
                                         DELETE /theses/:id(.:format)                                                                             theses#destroy
                                projects GET    /projects(.:format)                                                                               projects#index
                                         POST   /projects(.:format)                                                                               projects#create
                             new_project GET    /projects/new(.:format)                                                                           projects#new
                            edit_project GET    /projects/:id/edit(.:format)                                                                      projects#edit
                                 project GET    /projects/:id(.:format)                                                                           projects#show
                                         PATCH  /projects/:id(.:format)                                                                           projects#update
                                         PUT    /projects/:id(.:format)                                                                           projects#update
                                         DELETE /projects/:id(.:format)                                                                           projects#destroy
        turbo_recede_historical_location GET    /recede_historical_location(.:format)                                                             turbo/native/navigation#recede
        turbo_resume_historical_location GET    /resume_historical_location(.:format)                                                             turbo/native/navigation#resume
       turbo_refresh_historical_location GET    /refresh_historical_location(.:format)                                                            turbo/native/navigation#refresh
           rails_postmark_inbound_emails POST   /rails/action_mailbox/postmark/inbound_emails(.:format)                                           action_mailbox/ingresses/postmark/inbound_emails#create
              rails_relay_inbound_emails POST   /rails/action_mailbox/relay/inbound_emails(.:format)                                              action_mailbox/ingresses/relay/inbound_emails#create
           rails_sendgrid_inbound_emails POST   /rails/action_mailbox/sendgrid/inbound_emails(.:format)                                           action_mailbox/ingresses/sendgrid/inbound_emails#create
     rails_mandrill_inbound_health_check GET    /rails/action_mailbox/mandrill/inbound_emails(.:format)                                           action_mailbox/ingresses/mandrill/inbound_emails#health_check
           rails_mandrill_inbound_emails POST   /rails/action_mailbox/mandrill/inbound_emails(.:format)                                           action_mailbox/ingresses/mandrill/inbound_emails#create
            rails_mailgun_inbound_emails POST   /rails/action_mailbox/mailgun/inbound_emails/mime(.:format)                                       action_mailbox/ingresses/mailgun/inbound_emails#create
          rails_conductor_inbound_emails GET    /rails/conductor/action_mailbox/inbound_emails(.:format)                                          rails/conductor/action_mailbox/inbound_emails#index
                                         POST   /rails/conductor/action_mailbox/inbound_emails(.:format)                                          rails/conductor/action_mailbox/inbound_emails#create
       new_rails_conductor_inbound_email GET    /rails/conductor/action_mailbox/inbound_emails/new(.:format)                                      rails/conductor/action_mailbox/inbound_emails#new
           rails_conductor_inbound_email GET    /rails/conductor/action_mailbox/inbound_emails/:id(.:format)                                      rails/conductor/action_mailbox/inbound_emails#show
new_rails_conductor_inbound_email_source GET    /rails/conductor/action_mailbox/inbound_emails/sources/new(.:format)                              rails/conductor/action_mailbox/inbound_emails/sources#new
   rails_conductor_inbound_email_sources POST   /rails/conductor/action_mailbox/inbound_emails/sources(.:format)                                  rails/conductor/action_mailbox/inbound_emails/sources#create
   rails_conductor_inbound_email_reroute POST   /rails/conductor/action_mailbox/:inbound_email_id/reroute(.:format)                               rails/conductor/action_mailbox/reroutes#create
rails_conductor_inbound_email_incinerate POST   /rails/conductor/action_mailbox/:inbound_email_id/incinerate(.:format)                            rails/conductor/action_mailbox/incinerates#create
                      rails_service_blob GET    /rails/active_storage/blobs/redirect/:signed_id/*filename(.:format)                               active_storage/blobs/redirect#show
                rails_service_blob_proxy GET    /rails/active_storage/blobs/proxy/:signed_id/*filename(.:format)                                  active_storage/blobs/proxy#show
                                         GET    /rails/active_storage/blobs/:signed_id/*filename(.:format)                                        active_storage/blobs/redirect#show
               rails_blob_representation GET    /rails/active_storage/representations/redirect/:signed_blob_id/:variation_key/*filename(.:format) active_storage/representations/redirect#show
         rails_blob_representation_proxy GET    /rails/active_storage/representations/proxy/:signed_blob_id/:variation_key/*filename(.:format)    active_storage/representations/proxy#show
                                         GET    /rails/active_storage/representations/:signed_blob_id/:variation_key/*filename(.:format)          active_storage/representations/redirect#show
                      rails_disk_service GET    /rails/active_storage/disk/:encoded_key/*filename(.:format)                                       active_storage/disk#show
               update_rails_disk_service PUT    /rails/active_storage/disk/:encoded_token(.:format)                                               active_storage/disk#update
                    rails_direct_uploads POST   /rails/active_storage/direct_uploads(.:format)                                                    active_storage/direct_uploads#create
